"observationUnitName","observationUnitDbId","plot.subplot","biomass_timepoint","biomass_T1","biomass_T2","biomass_T3"
"B4I_2025_PM3D_ND_15_subplot_2",741845,"15.2",3,NA,NA,1
"B4I_2025_PM3D_ND_15_subplot_3",741846,"15.3",2,NA,1,NA
"B4I_2025_PM3D_ND_16_subplot_1",741817,"16.1",2,NA,1,NA
"B4I_2025_PM3D_ND_16_subplot_2",741818,"16.2",1,1,NA,NA
"B4I_2025_PM3D_ND_16_subplot_3",741819,"16.3",3,NA,NA,1
"B4I_2025_PM3D_ND_17_subplot_1",741841,"17.1",3,NA,NA,1
"B4I_2025_PM3D_ND_17_subplot_2",741842,"17.2",1,1,NA,NA
"B4I_2025_PM3D_ND_17_subplot_3",741843,"17.3",2,NA,1,NA
"B4I_2025_PM3D_ND_18_subplot_1",741814,"18.1",3,NA,NA,1
"B4I_2025_PM3D_ND_18_subplot_2",741815,"18.2",1,1,NA,NA
"B4I_2025_PM3D_ND_18_subplot_3",741816,"18.3",2,NA,1,NA
"B4I_2025_PM3D_ND_19_subplot_1",741850,"19.1",2,NA,1,NA
"B4I_2025_PM3D_ND_19_subplot_2",741851,"19.2",1,1,NA,NA
"B4I_2025_PM3D_ND_19_subplot_3",741852,"19.3",3,NA,NA,1
"B4I_2025_PM3D_ND_20_subplot_1",741829,"20.1",2,NA,1,NA
"B4I_2025_PM3D_ND_20_subplot_2",741830,"20.2",1,1,NA,NA
"B4I_2025_PM3D_ND_20_subplot_3",741831,"20.3",3,NA,NA,1
"B4I_2025_PM3D_NY_01_subplot_1",741910,"1.1",1,1,NA,NA
"B4I_2025_PM3D_NY_01_subplot_2",741911,"1.2",2,NA,1,NA
"B4I_2025_PM3D_NY_01_subplot_3",741912,"1.3",3,NA,NA,1
"B4I_2025_PM3D_NY_02_subplot_1",741859,"2.1",3,NA,NA,1
"B4I_2025_PM3D_NY_02_subplot_2",741860,"2.2",2,NA,1,NA
"B4I_2025_PM3D_NY_02_subplot_3",741861,"2.3",1,1,NA,NA
"B4I_2025_PM3D_NY_03_subplot_1",741886,"3.1",1,1,NA,NA
"B4I_2025_PM3D_NY_03_subplot_2",741887,"3.2",3,NA,NA,1
"B4I_2025_PM3D_NY_03_subplot_3",741888,"3.3",2,NA,1,NA
"B4I_2025_PM3D_NY_04_subplot_1",741895,"4.1",1,1,NA,NA
"B4I_2025_PM3D_NY_04_subplot_2",741896,"4.2",2,NA,1,NA
"B4I_2025_PM3D_NY_04_subplot_3",741897,"4.3",3,NA,NA,1
"B4I_2025_PM3D_NY_05_subplot_1",741892,"5.1",3,NA,NA,1
"B4I_2025_PM3D_NY_05_subplot_2",741893,"5.2",2,NA,1,NA
"B4I_2025_PM3D_NY_05_subplot_3",741894,"5.3",1,1,NA,NA
"B4I_2025_PM3D_NY_06_subplot_1",741898,"6.1",1,1,NA,NA
"B4I_2025_PM3D_NY_06_subplot_2",741899,"6.2",2,NA,1,NA
"B4I_2025_PM3D_NY_06_subplot_3",741900,"6.3",3,NA,NA,1
"B4I_2025_PM3D_NY_07_subplot_1",741865,"7.1",1,1,NA,NA
"B4I_2025_PM3D_NY_07_subplot_2",741866,"7.2",2,NA,1,NA
"B4I_2025_PM3D_NY_07_subplot_3",741867,"7.3",3,NA,NA,1
"B4I_2025_PM3D_NY_08_subplot_1",741883,"8.1",2,NA,1,NA
"B4I_2025_PM3D_NY_08_subplot_2",741884,"8.2",3,NA,NA,1
"B4I_2025_PM3D_NY_08_subplot_3",741885,"8.3",1,1,NA,NA
"B4I_2025_PM3D_NY_09_subplot_1",741871,"9.1",2,NA,1,NA
"B4I_2025_PM3D_NY_09_subplot_2",741872,"9.2",3,NA,NA,1
"B4I_2025_PM3D_NY_09_subplot_3",741873,"9.3",1,1,NA,NA
"B4I_2025_PM3D_NY_10_subplot_1",741913,"10.1",3,NA,NA,1
"B4I_2025_PM3D_NY_10_subplot_2",741914,"10.2",2,NA,1,NA
"B4I_2025_PM3D_NY_10_subplot_3",741915,"10.3",1,1,NA,NA
"B4I_2025_PM3D_NY_11_subplot_1",741889,"11.1",2,NA,1,NA
"B4I_2025_PM3D_NY_11_subplot_2",741890,"11.2",3,NA,NA,1
"B4I_2025_PM3D_NY_11_subplot_3",741891,"11.3",1,1,NA,NA
"B4I_2025_PM3D_NY_12_subplot_1",741901,"12.1",3,NA,NA,1
"B4I_2025_PM3D_NY_12_subplot_2",741902,"12.2",1,1,NA,NA
"B4I_2025_PM3D_NY_12_subplot_3",741903,"12.3",2,NA,1,NA
"B4I_2025_PM3D_NY_13_subplot_1",741877,"13.1",2,NA,1,NA
"B4I_2025_PM3D_NY_13_subplot_2",741878,"13.2",3,NA,NA,1
"B4I_2025_PM3D_NY_13_subplot_3",741879,"13.3",1,1,NA,NA
"B4I_2025_PM3D_NY_14_subplot_1",741862,"14.1",3,NA,NA,1
"B4I_2025_PM3D_NY_14_subplot_2",741863,"14.2",1,1,NA,NA
"B4I_2025_PM3D_NY_14_subplot_3",741864,"14.3",2,NA,1,NA
"B4I_2025_PM3D_NY_15_subplot_1",741874,"15.1",1,1,NA,NA
"B4I_2025_PM3D_NY_15_subplot_2",741875,"15.2",3,NA,NA,1
"B4I_2025_PM3D_NY_15_subplot_3",741876,"15.3",2,NA,1,NA
"B4I_2025_PM3D_NY_16_subplot_1",741907,"16.1",3,NA,NA,1
"B4I_2025_PM3D_NY_16_subplot_2",741908,"16.2",1,1,NA,NA
"B4I_2025_PM3D_NY_16_subplot_3",741909,"16.3",2,NA,1,NA
"B4I_2025_PM3D_NY_17_subplot_1",741868,"17.1",3,NA,NA,1
"B4I_2025_PM3D_NY_17_subplot_2",741869,"17.2",2,NA,1,NA
"B4I_2025_PM3D_NY_17_subplot_3",741870,"17.3",1,1,NA,NA
"B4I_2025_PM3D_NY_18_subplot_1",741904,"18.1",2,NA,1,NA
"B4I_2025_PM3D_NY_18_subplot_2",741905,"18.2",1,1,NA,NA
"B4I_2025_PM3D_NY_18_subplot_3",741906,"18.3",3,NA,NA,1
"B4I_2025_PM3D_NY_19_subplot_1",741880,"19.1",3,NA,NA,1
"B4I_2025_PM3D_NY_19_subplot_2",741881,"19.2",1,1,NA,NA
"B4I_2025_PM3D_NY_19_subplot_3",741882,"19.3",2,NA,1,NA
"B4I_2025_PM3D_NY_20_subplot_1",741856,"20.1",2,NA,1,NA
"B4I_2025_PM3D_NY_20_subplot_2",741857,"20.2",3,NA,NA,1
"B4I_2025_PM3D_NY_20_subplot_3",741858,"20.3",1,1,NA,NA
"B4I_2025_PM3D_IA_01_subplot_1",741712,"1.1",3,NA,NA,1
"B4I_2025_PM3D_IA_01_subplot_2",741713,"1.2",1,1,NA,NA
"B4I_2025_PM3D_IA_01_subplot_3",741714,"1.3",2,NA,1,NA
"B4I_2025_PM3D_IA_02_subplot_1",741688,"2.1",1,1,NA,NA
"B4I_2025_PM3D_IA_02_subplot_2",741689,"2.2",3,NA,NA,1
"B4I_2025_PM3D_IA_02_subplot_3",741690,"2.3",2,NA,1,NA
"B4I_2025_PM3D_IA_03_subplot_1",741724,"3.1",1,1,NA,NA
"B4I_2025_PM3D_IA_03_subplot_2",741725,"3.2",3,NA,NA,1
"B4I_2025_PM3D_IA_03_subplot_3",741726,"3.3",2,NA,1,NA
"B4I_2025_PM3D_IA_04_subplot_1",741733,"4.1",2,NA,1,NA
"B4I_2025_PM3D_IA_04_subplot_2",741734,"4.2",1,1,NA,NA
"B4I_2025_PM3D_IA_04_subplot_3",741735,"4.3",3,NA,NA,1
"B4I_2025_PM3D_IA_05_subplot_1",741718,"5.1",2,NA,1,NA
"B4I_2025_PM3D_IA_05_subplot_2",741719,"5.2",3,NA,NA,1
"B4I_2025_PM3D_IA_05_subplot_3",741720,"5.3",1,1,NA,NA
"B4I_2025_PM3D_IA_06_subplot_1",741727,"6.1",1,1,NA,NA
"B4I_2025_PM3D_IA_06_subplot_2",741728,"6.2",3,NA,NA,1
"B4I_2025_PM3D_IA_06_subplot_3",741729,"6.3",2,NA,1,NA
"B4I_2025_PM3D_IA_07_subplot_1",741700,"7.1",2,NA,1,NA
"B4I_2025_PM3D_IA_07_subplot_2",741701,"7.2",3,NA,NA,1
"B4I_2025_PM3D_IA_07_subplot_3",741702,"7.3",1,1,NA,NA
"B4I_2025_PM3D_IA_08_subplot_1",741682,"8.1",3,NA,NA,1
"B4I_2025_PM3D_IA_08_subplot_2",741683,"8.2",1,1,NA,NA
"B4I_2025_PM3D_IA_08_subplot_3",741684,"8.3",2,NA,1,NA
"B4I_2025_PM3D_IA_09_subplot_1",741697,"9.1",2,NA,1,NA
"B4I_2025_PM3D_IA_09_subplot_2",741698,"9.2",1,1,NA,NA
"B4I_2025_PM3D_IA_09_subplot_3",741699,"9.3",3,NA,NA,1
"B4I_2025_PM3D_IA_10_subplot_1",741709,"10.1",1,1,NA,NA
"B4I_2025_PM3D_IA_10_subplot_2",741710,"10.2",2,NA,1,NA
"B4I_2025_PM3D_IA_10_subplot_3",741711,"10.3",3,NA,NA,1
"B4I_2025_PM3D_IA_11_subplot_1",741721,"11.1",3,NA,NA,1
"B4I_2025_PM3D_IA_11_subplot_2",741722,"11.2",1,1,NA,NA
"B4I_2025_PM3D_IA_11_subplot_3",741723,"11.3",2,NA,1,NA
"B4I_2025_PM3D_IA_12_subplot_1",741730,"12.1",2,NA,1,NA
"B4I_2025_PM3D_IA_12_subplot_2",741731,"12.2",3,NA,NA,1
"B4I_2025_PM3D_IA_12_subplot_3",741732,"12.3",1,1,NA,NA
"B4I_2025_PM3D_IA_13_subplot_1",741679,"13.1",1,1,NA,NA
"B4I_2025_PM3D_IA_13_subplot_2",741680,"13.2",2,NA,1,NA
"B4I_2025_PM3D_IA_13_subplot_3",741681,"13.3",3,NA,NA,1
"B4I_2025_PM3D_IA_14_subplot_1",741685,"14.1",1,1,NA,NA
"B4I_2025_PM3D_IA_14_subplot_2",741686,"14.2",3,NA,NA,1
"B4I_2025_PM3D_IA_14_subplot_3",741687,"14.3",2,NA,1,NA
"B4I_2025_PM3D_IA_15_subplot_1",741694,"15.1",1,1,NA,NA
"B4I_2025_PM3D_IA_15_subplot_2",741695,"15.2",3,NA,NA,1
"B4I_2025_PM3D_IA_15_subplot_3",741696,"15.3",2,NA,1,NA
"B4I_2025_PM3D_IA_16_subplot_1",741715,"16.1",1,1,NA,NA
"B4I_2025_PM3D_IA_16_subplot_2",741716,"16.2",3,NA,NA,1
"B4I_2025_PM3D_IA_16_subplot_3",741717,"16.3",2,NA,1,NA
"B4I_2025_PM3D_IA_17_subplot_1",741703,"17.1",3,NA,NA,1
"B4I_2025_PM3D_IA_17_subplot_2",741704,"17.2",1,1,NA,NA
"B4I_2025_PM3D_IA_17_subplot_3",741705,"17.3",2,NA,1,NA
"B4I_2025_PM3D_IA_18_subplot_1",741706,"18.1",2,NA,1,NA
"B4I_2025_PM3D_IA_18_subplot_2",741707,"18.2",1,1,NA,NA
"B4I_2025_PM3D_IA_18_subplot_3",741708,"18.3",3,NA,NA,1
"B4I_2025_PM3D_IA_19_subplot_1",741676,"19.1",1,1,NA,NA
"B4I_2025_PM3D_IA_19_subplot_2",741677,"19.2",3,NA,NA,1
"B4I_2025_PM3D_IA_19_subplot_3",741678,"19.3",2,NA,1,NA
"B4I_2025_PM3D_IA_20_subplot_1",741691,"20.1",1,1,NA,NA
"B4I_2025_PM3D_IA_20_subplot_2",741692,"20.2",3,NA,NA,1
"B4I_2025_PM3D_IA_20_subplot_3",741693,"20.3",2,NA,1,NA
"B4I_2025_PM3D_AL_401_subplot_1",738026,"401.1",1,1,NA,NA
"B4I_2025_PM3D_AL_401_subplot_2",738027,"401.2",2,NA,1,NA
"B4I_2025_PM3D_AL_401_subplot_3",738028,"401.3",3,NA,NA,1
"B4I_2025_PM3D_AL_402_subplot_1",738029,"402.1",3,NA,NA,1
"B4I_2025_PM3D_AL_402_subplot_2",738030,"402.2",2,NA,1,NA
"B4I_2025_PM3D_AL_402_subplot_3",738031,"402.3",1,1,NA,NA
"B4I_2025_PM3D_AL_403_subplot_1",738011,"403.1",2,NA,1,NA
"B4I_2025_PM3D_AL_403_subplot_2",738012,"403.2",1,1,NA,NA
"B4I_2025_PM3D_AL_403_subplot_3",738013,"403.3",3,NA,NA,1
"B4I_2025_PM3D_AL_404_subplot_1",738020,"404.1",3,NA,NA,1
"B4I_2025_PM3D_AL_404_subplot_2",738021,"404.2",2,NA,1,NA
"B4I_2025_PM3D_AL_404_subplot_3",738022,"404.3",1,1,NA,NA
"B4I_2025_PM3D_AL_405_subplot_1",738005,"405.1",3,NA,NA,1
"B4I_2025_PM3D_AL_405_subplot_2",738006,"405.2",2,NA,1,NA
"B4I_2025_PM3D_AL_405_subplot_3",738007,"405.3",1,1,NA,NA
"B4I_2025_PM3D_AL_406_subplot_1",738032,"406.1",2,NA,1,NA
"B4I_2025_PM3D_AL_406_subplot_2",738033,"406.2",1,1,NA,NA
"B4I_2025_PM3D_AL_406_subplot_3",738034,"406.3",3,NA,NA,1
"B4I_2025_PM3D_AL_407_subplot_1",738014,"407.1",1,1,NA,NA
"B4I_2025_PM3D_AL_407_subplot_2",738015,"407.2",3,NA,NA,1
"B4I_2025_PM3D_AL_407_subplot_3",738016,"407.3",2,NA,1,NA
"B4I_2025_PM3D_AL_408_subplot_1",738002,"408.1",1,1,NA,NA
"B4I_2025_PM3D_AL_408_subplot_2",738003,"408.2",2,NA,1,NA
"B4I_2025_PM3D_AL_408_subplot_3",738004,"408.3",3,NA,NA,1
"B4I_2025_PM3D_AL_409_subplot_1",738017,"409.1",2,NA,1,NA
"B4I_2025_PM3D_AL_409_subplot_2",738018,"409.2",1,1,NA,NA
"B4I_2025_PM3D_AL_409_subplot_3",738019,"409.3",3,NA,NA,1
"B4I_2025_PM3D_AL_410_subplot_1",738047,"410.1",1,1,NA,NA
"B4I_2025_PM3D_AL_410_subplot_2",738048,"410.2",2,NA,1,NA
"B4I_2025_PM3D_AL_410_subplot_3",738049,"410.3",3,NA,NA,1
"B4I_2025_PM3D_AL_411_subplot_1",737999,"411.1",2,NA,1,NA
"B4I_2025_PM3D_AL_411_subplot_2",738000,"411.2",3,NA,NA,1
"B4I_2025_PM3D_AL_411_subplot_3",738001,"411.3",1,1,NA,NA
"B4I_2025_PM3D_AL_412_subplot_1",737996,"412.1",2,NA,1,NA
"B4I_2025_PM3D_AL_412_subplot_2",737997,"412.2",1,1,NA,NA
"B4I_2025_PM3D_AL_412_subplot_3",737998,"412.3",3,NA,NA,1
"B4I_2025_PM3D_AL_413_subplot_1",738044,"413.1",3,NA,NA,1
"B4I_2025_PM3D_AL_413_subplot_2",738045,"413.2",2,NA,1,NA
"B4I_2025_PM3D_AL_413_subplot_3",738046,"413.3",1,1,NA,NA
"B4I_2025_PM3D_AL_414_subplot_1",738050,"414.1",2,NA,1,NA
"B4I_2025_PM3D_AL_414_subplot_2",738051,"414.2",3,NA,NA,1
"B4I_2025_PM3D_AL_414_subplot_3",738052,"414.3",1,1,NA,NA
"B4I_2025_PM3D_AL_415_subplot_1",738035,"415.1",3,NA,NA,1
"B4I_2025_PM3D_AL_415_subplot_2",738036,"415.2",1,1,NA,NA
"B4I_2025_PM3D_AL_415_subplot_3",738037,"415.3",2,NA,1,NA
"B4I_2025_PM3D_AL_416_subplot_1",738008,"416.1",2,NA,1,NA
"B4I_2025_PM3D_AL_416_subplot_2",738009,"416.2",1,1,NA,NA
"B4I_2025_PM3D_AL_416_subplot_3",738010,"416.3",3,NA,NA,1
"B4I_2025_PM3D_AL_417_subplot_1",738041,"417.1",3,NA,NA,1
"B4I_2025_PM3D_AL_417_subplot_2",738042,"417.2",2,NA,1,NA
"B4I_2025_PM3D_AL_417_subplot_3",738043,"417.3",1,1,NA,NA
"B4I_2025_PM3D_AL_418_subplot_1",738023,"418.1",3,NA,NA,1
"B4I_2025_PM3D_AL_418_subplot_2",738024,"418.2",1,1,NA,NA
"B4I_2025_PM3D_AL_418_subplot_3",738025,"418.3",2,NA,1,NA
"B4I_2025_PM3D_AL_419_subplot_1",738053,"419.1",1,1,NA,NA
"B4I_2025_PM3D_AL_419_subplot_2",738054,"419.2",2,NA,1,NA
"B4I_2025_PM3D_AL_419_subplot_3",738055,"419.3",3,NA,NA,1
"B4I_2025_PM3D_AL_420_subplot_1",738038,"420.1",3,NA,NA,1
"B4I_2025_PM3D_AL_420_subplot_2",738039,"420.2",2,NA,1,NA
"B4I_2025_PM3D_AL_420_subplot_3",738040,"420.3",1,1,NA,NA
"B4I_2025_PM3D_IL_101_subplot_1",741760,"101.1",1,1,NA,NA
"B4I_2025_PM3D_IL_101_subplot_2",741761,"101.2",2,NA,1,NA
"B4I_2025_PM3D_IL_101_subplot_3",741762,"101.3",3,NA,NA,1
"B4I_2025_PM3D_IL_102_subplot_1",741787,"102.1",1,1,NA,NA
"B4I_2025_PM3D_IL_102_subplot_2",741788,"102.2",3,NA,NA,1
"B4I_2025_PM3D_IL_102_subplot_3",741789,"102.3",2,NA,1,NA
"B4I_2025_PM3D_IL_201_subplot_1",741763,"201.1",3,NA,NA,1
"B4I_2025_PM3D_IL_201_subplot_2",741764,"201.2",1,1,NA,NA
"B4I_2025_PM3D_IL_201_subplot_3",741765,"201.3",2,NA,1,NA
"B4I_2025_PM3D_IL_202_subplot_1",741751,"202.1",1,1,NA,NA
"B4I_2025_PM3D_IL_202_subplot_2",741752,"202.2",3,NA,NA,1
"B4I_2025_PM3D_IL_202_subplot_3",741753,"202.3",2,NA,1,NA
"B4I_2025_PM3D_IL_301_subplot_1",741736,"301.1",2,NA,1,NA
"B4I_2025_PM3D_IL_301_subplot_2",741737,"301.2",1,1,NA,NA
"B4I_2025_PM3D_IL_301_subplot_3",741738,"301.3",3,NA,NA,1
"B4I_2025_PM3D_IL_302_subplot_1",741784,"302.1",3,NA,NA,1
"B4I_2025_PM3D_IL_302_subplot_2",741785,"302.2",1,1,NA,NA
"B4I_2025_PM3D_IL_302_subplot_3",741786,"302.3",2,NA,1,NA
"B4I_2025_PM3D_IL_401_subplot_1",741748,"401.1",2,NA,1,NA
"B4I_2025_PM3D_IL_401_subplot_2",741749,"401.2",1,1,NA,NA
"B4I_2025_PM3D_IL_401_subplot_3",741750,"401.3",3,NA,NA,1
"B4I_2025_PM3D_IL_402_subplot_1",741772,"402.1",2,NA,1,NA
"B4I_2025_PM3D_IL_402_subplot_2",741773,"402.2",1,1,NA,NA
"B4I_2025_PM3D_IL_402_subplot_3",741774,"402.3",3,NA,NA,1
"B4I_2025_PM3D_IL_501_subplot_1",741745,"501.1",3,NA,NA,1
"B4I_2025_PM3D_IL_501_subplot_2",741746,"501.2",1,1,NA,NA
"B4I_2025_PM3D_IL_501_subplot_3",741747,"501.3",2,NA,1,NA
"B4I_2025_PM3D_IL_502_subplot_1",741781,"502.1",1,1,NA,NA
"B4I_2025_PM3D_IL_502_subplot_2",741782,"502.2",2,NA,1,NA
"B4I_2025_PM3D_IL_502_subplot_3",741783,"502.3",3,NA,NA,1
"B4I_2025_PM3D_IL_601_subplot_1",741754,"601.1",1,1,NA,NA
"B4I_2025_PM3D_IL_601_subplot_2",741755,"601.2",2,NA,1,NA
"B4I_2025_PM3D_IL_601_subplot_3",741756,"601.3",3,NA,NA,1
"B4I_2025_PM3D_IL_602_subplot_1",741766,"602.1",1,1,NA,NA
"B4I_2025_PM3D_IL_602_subplot_2",741767,"602.2",2,NA,1,NA
"B4I_2025_PM3D_IL_602_subplot_3",741768,"602.3",3,NA,NA,1
"B4I_2025_PM3D_IL_701_subplot_1",741775,"701.1",2,NA,1,NA
"B4I_2025_PM3D_IL_701_subplot_2",741776,"701.2",3,NA,NA,1
"B4I_2025_PM3D_IL_701_subplot_3",741777,"701.3",1,1,NA,NA
"B4I_2025_PM3D_IL_702_subplot_1",741742,"702.1",3,NA,NA,1
"B4I_2025_PM3D_IL_702_subplot_2",741743,"702.2",2,NA,1,NA
"B4I_2025_PM3D_IL_702_subplot_3",741744,"702.3",1,1,NA,NA
"B4I_2025_PM3D_IL_801_subplot_1",741790,"801.1",2,NA,1,NA
"B4I_2025_PM3D_IL_801_subplot_2",741791,"801.2",1,1,NA,NA
"B4I_2025_PM3D_IL_801_subplot_3",741792,"801.3",3,NA,NA,1
"B4I_2025_PM3D_IL_802_subplot_1",741757,"802.1",1,1,NA,NA
"B4I_2025_PM3D_IL_802_subplot_2",741758,"802.2",2,NA,1,NA
"B4I_2025_PM3D_IL_802_subplot_3",741759,"802.3",3,NA,NA,1
"B4I_2025_PM3D_IL_901_subplot_1",741778,"901.1",1,1,NA,NA
"B4I_2025_PM3D_IL_901_subplot_2",741779,"901.2",2,NA,1,NA
"B4I_2025_PM3D_IL_901_subplot_3",741780,"901.3",3,NA,NA,1
"B4I_2025_PM3D_IL_902_subplot_1",741739,"902.1",3,NA,NA,1
"B4I_2025_PM3D_IL_902_subplot_2",741740,"902.2",1,1,NA,NA
"B4I_2025_PM3D_IL_902_subplot_3",741741,"902.3",2,NA,1,NA
"B4I_2025_PM3D_IL_1001_subplot_1",741769,"1001.1",2,NA,1,NA
"B4I_2025_PM3D_IL_1001_subplot_2",741770,"1001.2",1,1,NA,NA
"B4I_2025_PM3D_IL_1001_subplot_3",741771,"1001.3",3,NA,NA,1
"B4I_2025_PM3D_IL_1002_subplot_1",741793,"1002.1",2,NA,1,NA
"B4I_2025_PM3D_IL_1002_subplot_2",741794,"1002.2",3,NA,NA,1
"B4I_2025_PM3D_IL_1002_subplot_3",741795,"1002.3",1,1,NA,NA
