"subplot_name","subplot_id","plot_name","accession_name","plot_number","block_number","is_a_control","rep_number","row_number","col_number","subplot_number"
"B4I_2025_PM3D_IA_13_subplot_1","741679","B4I_2025_PM3D_IA_13","ND210038","13","1","","1","9","10","1"
"B4I_2025_PM3D_IA_13_subplot_2","741680","B4I_2025_PM3D_IA_13","ND210038","13","1","","1","9","10","2"
"B4I_2025_PM3D_IA_13_subplot_3","741681","B4I_2025_PM3D_IA_13","ND210038","13","1","","1","9","10","3"
"B4I_2025_PM3D_IA_14_subplot_1","741685","B4I_2025_PM3D_IA_14","SD Momentum","14","1","","1","8","10","1"
"B4I_2025_PM3D_IA_14_subplot_2","741686","B4I_2025_PM3D_IA_14","SD Momentum","14","1","","1","8","10","2"
"B4I_2025_PM3D_IA_14_subplot_3","741687","B4I_2025_PM3D_IA_14","SD Momentum","14","1","","1","8","10","3"
"B4I_2025_PM3D_IA_15_subplot_1","741694","B4I_2025_PM3D_IA_15","IL17-1704","15","1","","1","7","10","1"
"B4I_2025_PM3D_IA_15_subplot_2","741695","B4I_2025_PM3D_IA_15","IL17-1704","15","1","","1","7","10","2"
"B4I_2025_PM3D_IA_15_subplot_3","741696","B4I_2025_PM3D_IA_15","IL17-1704","15","1","","1","7","10","3"
"B4I_2025_PM3D_IA_16_subplot_1","741715","B4I_2025_PM3D_IA_16","ND190393","16","1","","1","6","10","1"
"B4I_2025_PM3D_IA_16_subplot_2","741716","B4I_2025_PM3D_IA_16","ND190393","16","1","","1","6","10","2"
"B4I_2025_PM3D_IA_16_subplot_3","741717","B4I_2025_PM3D_IA_16","ND190393","16","1","","1","6","10","3"
"B4I_2025_PM3D_IA_17_subplot_1","741703","B4I_2025_PM3D_IA_17","NO_OATS_PLANTED","17","1","","1","5","10","1"
"B4I_2025_PM3D_IA_17_subplot_2","741704","B4I_2025_PM3D_IA_17","NO_OATS_PLANTED","17","1","","1","5","10","2"
"B4I_2025_PM3D_IA_17_subplot_3","741705","B4I_2025_PM3D_IA_17","NO_OATS_PLANTED","17","1","","1","5","10","3"
"B4I_2025_PM3D_IA_18_subplot_1","741706","B4I_2025_PM3D_IA_18","ND210038","18","1","","1","4","10","1"
"B4I_2025_PM3D_IA_18_subplot_2","741707","B4I_2025_PM3D_IA_18","ND210038","18","1","","1","4","10","2"
"B4I_2025_PM3D_IA_18_subplot_3","741708","B4I_2025_PM3D_IA_18","ND210038","18","1","","1","4","10","3"
"B4I_2025_PM3D_IA_19_subplot_1","741676","B4I_2025_PM3D_IA_19","ND190393","19","1","","1","3","10","1"
"B4I_2025_PM3D_IA_19_subplot_2","741677","B4I_2025_PM3D_IA_19","ND190393","19","1","","1","3","10","2"
"B4I_2025_PM3D_IA_19_subplot_3","741678","B4I_2025_PM3D_IA_19","ND190393","19","1","","1","3","10","3"
"B4I_2025_PM3D_IA_20_subplot_1","741691","B4I_2025_PM3D_IA_20","ND Spilde","20","1","","1","2","10","1"
"B4I_2025_PM3D_IA_20_subplot_2","741692","B4I_2025_PM3D_IA_20","ND Spilde","20","1","","1","2","10","2"
"B4I_2025_PM3D_IA_20_subplot_3","741693","B4I_2025_PM3D_IA_20","ND Spilde","20","1","","1","2","10","3"
