studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,intercropGermplasmDbId,intercropGermplasmName,germplasmEntryNumber,notes
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704619,IL23-1650,IL23-1650,subplot,736431,B4I_2025_AL_1004_subplot_1,1,1,1004,1,4,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704619,IL23-1650,IL23-1650,subplot,736432,B4I_2025_AL_1004_subplot_2,1,1,1004,1,4,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704619,IL23-1650,IL23-1650,subplot,736433,B4I_2025_AL_1004_subplot_3,1,1,1004,1,4,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704449,IL23-723,IL23-723,plot,733732,B4I_2025_AL_1005,1,1,1005,1,5,test,,733507,NDP250049Y,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704449,IL23-723,IL23-723,subplot,735936,B4I_2025_AL_1005_subplot_1,1,1,1005,1,5,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704449,IL23-723,IL23-723,subplot,735937,B4I_2025_AL_1005_subplot_2,1,1,1005,1,5,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704449,IL23-723,IL23-723,subplot,735938,B4I_2025_AL_1005_subplot_3,1,1,1005,1,5,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",,,,plot,733736,B4I_2025_AL_1006,1,1,1006,1,6,test,,"733,400,733,400,733,000","NDP160188Y,NDP160188Y,NDP160188Y",,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704703,IL23-1209,IL23-1209,subplot,736629,B4I_2025_AL_1006_subplot_1,1,1,1006,1,6,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704703,IL23-1209,IL23-1209,subplot,736630,B4I_2025_AL_1006_subplot_2,1,1,1006,1,6,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704703,IL23-1209,IL23-1209,subplot,736631,B4I_2025_AL_1006_subplot_3,1,1,1006,1,6,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704732,IL23-1206,IL23-1206,plot,733581,B4I_2025_AL_1007,1,1,1007,1,7,test,,733459,NDP170052G,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704732,IL23-1206,IL23-1206,subplot,735801,B4I_2025_AL_1007_subplot_1,1,1,1007,1,7,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704732,IL23-1206,IL23-1206,subplot,735802,B4I_2025_AL_1007_subplot_2,1,1,1007,1,7,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704732,IL23-1206,IL23-1206,subplot,735803,B4I_2025_AL_1007_subplot_3,1,1,1007,1,7,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",,,,plot,733889,B4I_2025_AL_1008,1,1,1008,1,8,test,,"733,504,733,504,733,000","NDP250164Y,NDP250164Y,NDP250164Y",,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",530955,IL21-8143,,subplot,736401,B4I_2025_AL_1008_subplot_1,1,1,1008,1,8,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",530955,IL21-8143,,subplot,736402,B4I_2025_AL_1008_subplot_2,1,1,1008,1,8,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",530955,IL21-8143,,subplot,736403,B4I_2025_AL_1008_subplot_3,1,1,1008,1,8,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",,,,plot,733661,B4I_2025_AL_1009,1,1,1009,1,9,test,,"733,401,733,401,733,000","NDP250040Y,NDP250040Y,NDP250040Y",,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704685,IL23-3655,IL23-3655,subplot,735567,B4I_2025_AL_1009_subplot_1,1,1,1009,1,9,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704685,IL23-3655,IL23-3655,subplot,735568,B4I_2025_AL_1009_subplot_2,1,1,1009,1,9,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704685,IL23-3655,IL23-3655,subplot,735569,B4I_2025_AL_1009_subplot_3,1,1,1009,1,9,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",,,,plot,733853,B4I_2025_AL_1010,1,1,1010,1,10,test,,"733,474,733,474,733,000","NDP250093Y,NDP250093Y,NDP250093Y",,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704842,IL23-1669,IL23-1669,subplot,736335,B4I_2025_AL_1010_subplot_1,1,1,1010,1,10,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704842,IL23-1669,IL23-1669,subplot,736336,B4I_2025_AL_1010_subplot_2,1,1,1010,1,10,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704842,IL23-1669,IL23-1669,subplot,736337,B4I_2025_AL_1010_subplot_3,1,1,1010,1,10,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704924,IL23-3576,IL23-3576,plot,733518,B4I_2025_AL_1011,1,1,1011,1,11,test,,733399,NDP250095Y,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704924,IL23-3576,IL23-3576,subplot,735819,B4I_2025_AL_1011_subplot_1,1,1,1011,1,11,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704924,IL23-3576,IL23-3576,subplot,735820,B4I_2025_AL_1011_subplot_2,1,1,1011,1,11,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704924,IL23-3576,IL23-3576,subplot,735821,B4I_2025_AL_1011_subplot_3,1,1,1011,1,11,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",530981,IL21-7653,,plot,733729,B4I_2025_AL_1012,1,1,1012,1,12,test,,733325,NDP250163Y,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",530981,IL21-7653,,subplot,736110,B4I_2025_AL_1012_subplot_1,1,1,1012,1,12,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",530981,IL21-7653,,subplot,736111,B4I_2025_AL_1012_subplot_2,1,1,1012,1,12,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",530981,IL21-7653,,subplot,736112,B4I_2025_AL_1012_subplot_3,1,1,1012,1,12,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",,,,plot,733633,B4I_2025_AL_1013,1,1,1013,1,13,test,,"733,454,733,454,733,000","NDP150412G,NDP150412G,NDP150412G",,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704917,IL23-1450,IL23-1450,subplot,736461,B4I_2025_AL_1013_subplot_1,1,1,1013,1,13,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704917,IL23-1450,IL23-1450,subplot,736462,B4I_2025_AL_1013_subplot_2,1,1,1013,1,13,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704917,IL23-1450,IL23-1450,subplot,736463,B4I_2025_AL_1013_subplot_3,1,1,1013,1,13,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704823,IL23-1815,IL23-1815,plot,733827,B4I_2025_AL_1014,1,1,1014,1,14,test,,733319,NDP250148G,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704823,IL23-1815,IL23-1815,subplot,736035,B4I_2025_AL_1014_subplot_1,1,1,1014,1,14,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704823,IL23-1815,IL23-1815,subplot,736036,B4I_2025_AL_1014_subplot_2,1,1,1014,1,14,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704823,IL23-1815,IL23-1815,subplot,736037,B4I_2025_AL_1014_subplot_3,1,1,1014,1,14,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704866,IL23-1423,IL23-1423,plot,733665,B4I_2025_AL_1015,1,1,1015,1,15,test,,733332,NDP170008G,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704866,IL23-1423,IL23-1423,subplot,736314,B4I_2025_AL_1015_subplot_1,1,1,1015,1,15,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704866,IL23-1423,IL23-1423,subplot,736315,B4I_2025_AL_1015_subplot_2,1,1,1015,1,15,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704866,IL23-1423,IL23-1423,subplot,736316,B4I_2025_AL_1015_subplot_3,1,1,1015,1,15,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704612,IL23-1459,IL23-1459,plot,733790,B4I_2025_AL_1016,1,1,1016,1,16,test,,733277,NDP170089G,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704612,IL23-1459,IL23-1459,subplot,735636,B4I_2025_AL_1016_subplot_1,1,1,1016,1,16,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704612,IL23-1459,IL23-1459,subplot,735637,B4I_2025_AL_1016_subplot_2,1,1,1016,1,16,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704612,IL23-1459,IL23-1459,subplot,735638,B4I_2025_AL_1016_subplot_3,1,1,1016,1,16,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704630,IL23-739,IL23-739,plot,733593,B4I_2025_AL_1017,1,1,1017,1,17,test,,733283,NDP250086Y,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704630,IL23-739,IL23-739,subplot,736158,B4I_2025_AL_1017_subplot_1,1,1,1017,1,17,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704630,IL23-739,IL23-739,subplot,736159,B4I_2025_AL_1017_subplot_2,1,1,1017,1,17,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704630,IL23-739,IL23-739,subplot,736160,B4I_2025_AL_1017_subplot_3,1,1,1017,1,17,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704779,IL23-810,IL23-810,plot,733798,B4I_2025_AL_1018,1,1,1018,1,18,test,,733385,NDP121711R,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704779,IL23-810,IL23-810,subplot,736059,B4I_2025_AL_1018_subplot_1,1,1,1018,1,18,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704779,IL23-810,IL23-810,subplot,736060,B4I_2025_AL_1018_subplot_2,1,1,1018,1,18,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704779,IL23-810,IL23-810,subplot,736061,B4I_2025_AL_1018_subplot_3,1,1,1018,1,18,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",,,,plot,733897,B4I_2025_AL_1019,1,1,1019,1,19,test,,"733,387,733,387,733,000","NDP250168Y,NDP250168Y,NDP250168Y",,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",543791,IL22-4548,,subplot,736572,B4I_2025_AL_1019_subplot_1,1,1,1019,1,19,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",543791,IL22-4548,,subplot,736573,B4I_2025_AL_1019_subplot_2,1,1,1019,1,19,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",543791,IL22-4548,,subplot,736574,B4I_2025_AL_1019_subplot_3,1,1,1019,1,19,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704997,IL23-3673,IL23-3673,plot,733697,B4I_2025_AL_1020,1,1,1020,1,20,test,,733331,NDP170181Y,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704997,IL23-3673,IL23-3673,subplot,736608,B4I_2025_AL_1020_subplot_1,1,1,1020,1,20,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704997,IL23-3673,IL23-3673,subplot,736609,B4I_2025_AL_1020_subplot_2,1,1,1020,1,20,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704997,IL23-3673,IL23-3673,subplot,736610,B4I_2025_AL_1020_subplot_3,1,1,1020,1,20,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704565,IL23-4039,IL23-4039,plot,733785,B4I_2025_AL_1021,1,1,1021,1,21,test,,733282,NDP250036Y,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704565,IL23-4039,IL23-4039,subplot,735516,B4I_2025_AL_1021_subplot_1,1,1,1021,1,21,test,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6821,B4I_2025_AL,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,,,191,"Tallassee, AL",704565,IL23-4039,IL23-4039,subplot,735517,B4I_2025_AL_1021_subplot_2,1,1,1021,1,21,test,,,,,
