Year,Entry,Range,Column,Rep,Sub-Plot,OAT,PEA,Plant establishment - plants/ft2|CO_350:0005124,Plant height - cm|timepoint 1|COMP:0000114,Pea Plant Establishment - plants/ft2|CO_xxx:0003011,Pea Plant Height - cm|timepoint 1|COMP:0000122,Plant height - cm|timepoint 2|COMP:0000115,Pea Plant Height - cm|timepoint 2|COMP:0000123,Plant height - cm|timepoint 3|COMP:0000116,Pea Plant Height - cm|timepoint 3|COMP:0000124,Plant height - cm|timepoint 4|COMP:0000117,Pea Plant Height - cm|timepoint 4|COMP:0000125,plot_subplot
2025,7,2,8,1,3,PLIL23-1663-201774445,PLNDP170006G,10,18,3,17,40,59,70,49,62,39,2007_1
2025,7,2,8,1,3,PLIL23-1663-201774445,PLNDP170006G,10,18,3,17,40,59,70,49,62,39,2007_2
2025,7,2,8,1,3,PLIL23-1663-201774445,PLNDP170006G,10,18,3,17,40,59,70,49,62,39,2007_3
2025,8,2,9,1,1,PLIL21-753-200865759,PLNDP250039Y,7,17,7,21,58,53,64,80,51,58,2008_2
2025,8,2,9,1,1,PLIL21-753-200865759,PLNDP250039Y,7,17,7,21,58,53,64,80,51,58,2008_3
2025,8,2,9,1,1,PLIL21-753-200865759,PLNDP250039Y,7,17,7,21,58,53,64,80,51,58,2008_1
2025,8,2,9,1,2,PLIL21-753-200865759,PLNDP250039Y,11,20,3,22,48,58,77,80,53,59,2008_2
2025,8,2,9,1,2,PLIL21-753-200865759,PLNDP250039Y,11,20,3,22,48,58,77,80,53,59,2008_3
2025,8,2,9,1,2,PLIL21-753-200865759,PLNDP250039Y,11,20,3,22,48,58,77,80,53,59,2008_1
2025,8,2,9,1,3,PLIL21-753-200865759,PLNDP250039Y,4,18,9,19,50,57,74,75,60,66,2008_2
2025,8,2,9,1,3,PLIL21-753-200865759,PLNDP250039Y,4,18,9,19,50,57,74,75,60,66,2008_3
2025,8,2,9,1,3,PLIL21-753-200865759,PLNDP250039Y,4,18,9,19,50,57,74,75,60,66,2008_1
2025,16,3,2,1,1,PLIL23-3228-200865853,PLNDP250085Y,14,14,4,17,48,56,73,75,59,56,2016_3
2025,16,3,2,1,1,PLIL23-3228-200865853,PLNDP250085Y,14,14,4,17,48,56,73,75,59,56,2016_1
2025,16,3,2,1,1,PLIL23-3228-200865853,PLNDP250085Y,14,14,4,17,48,56,73,75,59,56,2016_2
2025,16,3,2,1,2,PLIL23-3228-200865853,PLNDP250085Y,11,22,7,23,59,59,77,78,57,58,2016_3
2025,16,3,2,1,2,PLIL23-3228-200865853,PLNDP250085Y,11,22,7,23,59,59,77,78,57,58,2016_1
2025,16,3,2,1,2,PLIL23-3228-200865853,PLNDP250085Y,11,22,7,23,59,59,77,78,57,58,2016_2
2025,16,3,2,1,3,PLIL23-3228-200865853,PLNDP250085Y,12,17,5,14,57,57,70,71,67,63,2016_3
2025,16,3,2,1,3,PLIL23-3228-200865853,PLNDP250085Y,12,17,5,14,57,57,70,71,67,63,2016_1
2025,16,3,2,1,3,PLIL23-3228-200865853,PLNDP250085Y,12,17,5,14,57,57,70,71,67,63,2016_2
2025,15,3,3,1,1,PLIL23-422-201774462,PLNDP170028G,8,18,10,13,50,60,82,33,47,31,2015_1
2025,15,3,3,1,1,PLIL23-422-201774462,PLNDP170028G,8,18,10,13,50,60,82,33,47,31,2015_2
2025,15,3,3,1,1,PLIL23-422-201774462,PLNDP170028G,8,18,10,13,50,60,82,33,47,31,2015_3
2025,15,3,3,1,2,PLIL23-422-201774462,PLNDP170028G,13,22,5,22,50,65,61,55,37,19,2015_1
2025,15,3,3,1,2,PLIL23-422-201774462,PLNDP170028G,13,22,5,22,50,65,61,55,37,19,2015_2
2025,15,3,3,1,2,PLIL23-422-201774462,PLNDP170028G,13,22,5,22,50,65,61,55,37,19,2015_3
2025,15,3,3,1,3,PLIL23-422-201774462,PLNDP170028G,10,18,8,23,55,64,67,51,35,25,2015_1
2025,15,3,3,1,3,PLIL23-422-201774462,PLNDP170028G,10,18,8,23,55,64,67,51,35,25,2015_2
2025,15,3,3,1,3,PLIL23-422-201774462,PLNDP170028G,10,18,8,23,55,64,67,51,35,25,2015_3
2025,14,3,4,1,1,PLIL23-739-200865919,PLNDP250090Y,8,17,6,5,52,45,90,62,54,61,2014_2
2025,14,3,4,1,1,PLIL23-739-200865919,PLNDP250090Y,8,17,6,5,52,45,90,62,54,61,2014_3
2025,14,3,4,1,1,PLIL23-739-200865919,PLNDP250090Y,8,17,6,5,52,45,90,62,54,61,2014_1
2025,14,3,4,1,2,PLIL23-739-200865919,PLNDP250090Y,11,20,3,22,51,54,83,78,67,65,2014_2
2025,14,3,4,1,2,PLIL23-739-200865919,PLNDP250090Y,11,20,3,22,51,54,83,78,67,65,2014_3
2025,14,3,4,1,2,PLIL23-739-200865919,PLNDP250090Y,11,20,3,22,51,54,83,78,67,65,2014_1
2025,14,3,4,1,3,PLIL23-739-200865919,PLNDP250090Y,6,18,2,20,56,48,75,66,66,64,2014_2
2025,14,3,4,1,3,PLIL23-739-200865919,PLNDP250090Y,6,18,2,20,56,48,75,66,66,64,2014_3
2025,14,3,4,1,3,PLIL23-739-200865919,PLNDP250090Y,6,18,2,20,56,48,75,66,66,64,2014_1
2025,13,3,5,1,1,PLIL23-660-201774471,PLNDP250125Y,6,13,7,6,58,56,71,73,58,64,2013_3
2025,13,3,5,1,1,PLIL23-660-201774471,PLNDP250125Y,6,13,7,6,58,56,71,73,58,64,2013_1
2025,13,3,5,1,1,PLIL23-660-201774471,PLNDP250125Y,6,13,7,6,58,56,71,73,58,64,2013_2
2025,13,3,5,1,2,PLIL23-660-201774471,PLNDP250125Y,18,25,5,17,57,49,69,66,55,53,2013_3
2025,13,3,5,1,2,PLIL23-660-201774471,PLNDP250125Y,18,25,5,17,57,49,69,66,55,53,2013_1
2025,13,3,5,1,2,PLIL23-660-201774471,PLNDP250125Y,18,25,5,17,57,49,69,66,55,53,2013_2
2025,13,3,5,1,3,PLIL23-660-201774471,PLNDP250125Y,13,22,3,17,54,50,84,52,63,57,2013_3
2025,13,3,5,1,3,PLIL23-660-201774471,PLNDP250125Y,13,22,3,17,54,50,84,52,63,57,2013_1
2025,13,3,5,1,3,PLIL23-660-201774471,PLNDP250125Y,13,22,3,17,54,50,84,52,63,57,2013_2
2025,12,3,6,1,1,PLIL23-3673-200865870,PLNDP250164Y,7,14,2,12,41,44,89,59,43,49,2012_1
2025,12,3,6,1,1,PLIL23-3673-200865870,PLNDP250164Y,7,14,2,12,41,44,89,59,43,49,2012_2
2025,12,3,6,1,1,PLIL23-3673-200865870,PLNDP250164Y,7,14,2,12,41,44,89,59,43,49,2012_3
2025,12,3,6,1,2,PLIL23-3673-200865870,PLNDP250164Y,14,19,2,18,43,49,72,60,54,51,2012_1
2025,12,3,6,1,2,PLIL23-3673-200865870,PLNDP250164Y,14,19,2,18,43,49,72,60,54,51,2012_2
2025,12,3,6,1,2,PLIL23-3673-200865870,PLNDP250164Y,14,19,2,18,43,49,72,60,54,51,2012_3
2025,12,3,6,1,3,PLIL23-3673-200865870,PLNDP250164Y,11,16,6,20,53,47,83,59,59,48,2012_1
2025,12,3,6,1,3,PLIL23-3673-200865870,PLNDP250164Y,11,16,6,20,53,47,83,59,59,48,2012_2
2025,12,3,6,1,3,PLIL23-3673-200865870,PLNDP250164Y,11,16,6,20,53,47,83,59,59,48,2012_3
2025,11,3,7,1,1,PLIL23-2253-200865838,PLNDP170153Y,9,16,6,22,54,55,70,91,52,61,2011_2
2025,11,3,7,1,1,PLIL23-2253-200865838,PLNDP170153Y,9,16,6,22,54,55,70,91,52,61,2011_3
2025,11,3,7,1,1,PLIL23-2253-200865838,PLNDP170153Y,9,16,6,22,54,55,70,91,52,61,2011_1
2025,11,3,7,1,2,PLIL23-2253-200865838,PLNDP170153Y,14,20,4,21,50,61,73,82,51,66,2011_2
2025,11,3,7,1,2,PLIL23-2253-200865838,PLNDP170153Y,14,20,4,21,50,61,73,82,51,66,2011_3
2025,11,3,7,1,2,PLIL23-2253-200865838,PLNDP170153Y,14,20,4,21,50,61,73,82,51,66,2011_1
2025,11,3,7,1,3,PLIL23-2253-200865838,PLNDP170153Y,10,17,7,19,51,54,70,72,49,51,2011_2
2025,11,3,7,1,3,PLIL23-2253-200865838,PLNDP170153Y,10,17,7,19,51,54,70,72,49,51,2011_3
2025,11,3,7,1,3,PLIL23-2253-200865838,PLNDP170153Y,10,17,7,19,51,54,70,72,49,51,2011_1
2025,10,3,8,1,1,PLIL23-260-200865846,PLNDP170031G,8,22,9,18,51,56,66,72,49,4,2010_3
2025,10,3,8,1,1,PLIL23-260-200865846,PLNDP170031G,8,22,9,18,51,56,66,72,49,4,2010_1
2025,10,3,8,1,1,PLIL23-260-200865846,PLNDP170031G,8,22,9,18,51,56,66,72,49,4,2010_2
2025,10,3,8,1,2,PLIL23-260-200865846,PLNDP170031G,9,18,9,16,48,56,67,66,36,47,2010_3
2025,10,3,8,1,2,PLIL23-260-200865846,PLNDP170031G,9,18,9,16,48,56,67,66,36,47,2010_1
2025,10,3,8,1,2,PLIL23-260-200865846,PLNDP170031G,9,18,9,16,48,56,67,66,36,47,2010_2
2025,10,3,8,1,3,PLIL23-260-200865846,PLNDP170031G,7,17,6,23,53,58,68,64,45,52,2010_3
2025,10,3,8,1,3,PLIL23-260-200865846,PLNDP170031G,7,17,6,23,53,58,68,64,45,52,2010_1
2025,10,3,8,1,3,PLIL23-260-200865846,PLNDP170031G,7,17,6,23,53,58,68,64,45,52,2010_2
2025,9,3,9,1,1,PLIL23-2371-200865840,PLNDP250029Y,13,19,4,16,61,58,73,73,59,59,2009_1
2025,9,3,9,1,1,PLIL23-2371-200865840,PLNDP250029Y,13,19,4,16,61,58,73,73,59,59,2009_2
2025,9,3,9,1,1,PLIL23-2371-200865840,PLNDP250029Y,13,19,4,16,61,58,73,73,59,59,2009_3
2025,9,3,9,1,2,PLIL23-2371-200865840,PLNDP250029Y,11,17,8,21,51,64,74,77,53,53,2009_1
2025,9,3,9,1,2,PLIL23-2371-200865840,PLNDP250029Y,11,17,8,21,51,64,74,77,53,53,2009_2
2025,9,3,9,1,2,PLIL23-2371-200865840,PLNDP250029Y,11,17,8,21,51,64,74,77,53,53,2009_3
2025,9,3,9,1,3,PLIL23-2371-200865840,PLNDP250029Y,11,15,6,19,53,57,76,82,60,62,2009_1
2025,9,3,9,1,3,PLIL23-2371-200865840,PLNDP250029Y,11,15,6,19,53,57,76,82,60,62,2009_2
2025,9,3,9,1,3,PLIL23-2371-200865840,PLNDP250029Y,11,15,6,19,53,57,76,82,60,62,2009_3
2025,17,4,2,1,1,PLIL23-1959-200865830,PLNDP250051Y,8,9,1,17,37,38,78,67,53,61,2017_2
2025,17,4,2,1,1,PLIL23-1959-200865830,PLNDP250051Y,8,9,1,17,37,38,78,67,53,61,2017_3
2025,17,4,2,1,1,PLIL23-1959-200865830,PLNDP250051Y,8,9,1,17,37,38,78,67,53,61,2017_1
2025,17,4,2,1,2,PLIL23-1959-200865830,PLNDP250051Y,15,10,6,13,35,42,59,70,61,51,2017_2
2025,17,4,2,1,2,PLIL23-1959-200865830,PLNDP250051Y,15,10,6,13,35,42,59,70,61,51,2017_3
2025,17,4,2,1,2,PLIL23-1959-200865830,PLNDP250051Y,15,10,6,13,35,42,59,70,61,51,2017_1
2025,17,4,2,1,3,PLIL23-1959-200865830,PLNDP250051Y,9,14,10,19,45,49,59,54,55,59,2017_2
2025,17,4,2,1,3,PLIL23-1959-200865830,PLNDP250051Y,9,14,10,19,45,49,59,54,55,59,2017_3
2025,17,4,2,1,3,PLIL23-1959-200865830,PLNDP250051Y,9,14,10,19,45,49,59,54,55,59,2017_1
2025,18,4,3,1,1,PLIL20-6928-200865748,PLNDP250120G,11,21,11,13,53,57,75,73,36,40,2018_3
2025,18,4,3,1,1,PLIL20-6928-200865748,PLNDP250120G,11,21,11,13,53,57,75,73,36,40,2018_1
2025,18,4,3,1,1,PLIL20-6928-200865748,PLNDP250120G,11,21,11,13,53,57,75,73,36,40,2018_2
2025,18,4,3,1,2,PLIL20-6928-200865748,PLNDP250120G,11,23,9,25,55,70,73,81,34,44,2018_3
2025,18,4,3,1,2,PLIL20-6928-200865748,PLNDP250120G,11,23,9,25,55,70,73,81,34,44,2018_1
2025,18,4,3,1,2,PLIL20-6928-200865748,PLNDP250120G,11,23,9,25,55,70,73,81,34,44,2018_2
2025,18,4,3,1,3,PLIL20-6928-200865748,PLNDP250120G,8,19,5,20,59,55,61,68,36,35,2018_3
2025,18,4,3,1,3,PLIL20-6928-200865748,PLNDP250120G,8,19,5,20,59,55,61,68,36,35,2018_1
2025,18,4,3,1,3,PLIL20-6928-200865748,PLNDP250120G,8,19,5,20,59,55,61,68,36,35,2018_2
2025,19,4,4,1,1,PLIL23-1959-200865830,PLNDP250073Y,9,17,3,21,49,50,71,70,49,54,2019_1
2025,19,4,4,1,1,PLIL23-1959-200865830,PLNDP250073Y,9,17,3,21,49,50,71,70,49,54,2019_2
2025,19,4,4,1,1,PLIL23-1959-200865830,PLNDP250073Y,9,17,3,21,49,50,71,70,49,54,2019_3
2025,19,4,4,1,2,PLIL23-1959-200865830,PLNDP250073Y,9,16,7,25,52,55,61,69,54,44,2019_1
2025,19,4,4,1,2,PLIL23-1959-200865830,PLNDP250073Y,9,16,7,25,52,55,61,69,54,44,2019_2
2025,19,4,4,1,2,PLIL23-1959-200865830,PLNDP250073Y,9,16,7,25,52,55,61,69,54,44,2019_3
2025,19,4,4,1,3,PLIL23-1959-200865830,PLNDP250073Y,11,18,3,18,53,54,72,55,57,49,2019_1
2025,19,4,4,1,3,PLIL23-1959-200865830,PLNDP250073Y,11,18,3,18,53,54,72,55,57,49,2019_2
2025,19,4,4,1,3,PLIL23-1959-200865830,PLNDP250073Y,11,18,3,18,53,54,72,55,57,49,2019_3
2025,20,4,5,1,1,PLIL23-4252-200865896,PLNDP250031Y,7,16,4,13,55,58,84,66,59,60,2020_2
2025,20,4,5,1,1,PLIL23-4252-200865896,PLNDP250031Y,7,16,4,13,55,58,84,66,59,60,2020_3
2025,20,4,5,1,1,PLIL23-4252-200865896,PLNDP250031Y,7,16,4,13,55,58,84,66,59,60,2020_1
2025,20,4,5,1,2,PLIL23-4252-200865896,PLNDP250031Y,11,23,4,16,55,65,80,77,59,51,2020_2
2025,20,4,5,1,2,PLIL23-4252-200865896,PLNDP250031Y,11,23,4,16,55,65,80,77,59,51,2020_3
2025,20,4,5,1,2,PLIL23-4252-200865896,PLNDP250031Y,11,23,4,16,55,65,80,77,59,51,2020_1
2025,20,4,5,1,3,PLIL23-4252-200865896,PLNDP250031Y,8,19,5,20,58,60,78,67,65,64,2020_2
2025,20,4,5,1,3,PLIL23-4252-200865896,PLNDP250031Y,8,19,5,20,58,60,78,67,65,64,2020_3
2025,20,4,5,1,3,PLIL23-4252-200865896,PLNDP250031Y,8,19,5,20,58,60,78,67,65,64,2020_1
2025,21,4,6,1,1,PLIL23-1209-200865792,PLNDP250187G,6,10,5,7,39,40,81,64,48,46,2021_3
2025,21,4,6,1,1,PLIL23-1209-200865792,PLNDP250187G,6,10,5,7,39,40,81,64,48,46,2021_1
2025,21,4,6,1,1,PLIL23-1209-200865792,PLNDP250187G,6,10,5,7,39,40,81,64,48,46,2021_2
2025,21,4,6,1,2,PLIL23-1209-200865792,PLNDP250187G,9,19,5,14,49,46,75,57,42,37,2021_3
2025,21,4,6,1,2,PLIL23-1209-200865792,PLNDP250187G,9,19,5,14,49,46,75,57,42,37,2021_1
2025,21,4,6,1,2,PLIL23-1209-200865792,PLNDP250187G,9,19,5,14,49,46,75,57,42,37,2021_2
2025,21,4,6,1,3,PLIL23-1209-200865792,PLNDP250187G,8,18,5,15,47,42,74,52,59,54,2021_3
2025,21,4,6,1,3,PLIL23-1209-200865792,PLNDP250187G,8,18,5,15,47,42,74,52,59,54,2021_1
2025,21,4,6,1,3,PLIL23-1209-200865792,PLNDP250187G,8,18,5,15,47,42,74,52,59,54,2021_2
2025,22,4,7,1,1,PLIL23-1657-200865821,PLNDP250113G,6,19,9,13,42,48,62,74,51,53,2022_1
2025,22,4,7,1,1,PLIL23-1657-200865821,PLNDP250113G,6,19,9,13,42,48,62,74,51,53,2022_2
2025,22,4,7,1,1,PLIL23-1657-200865821,PLNDP250113G,6,19,9,13,42,48,62,74,51,53,2022_3
2025,22,4,7,1,2,PLIL23-1657-200865821,PLNDP250113G,10,16,7,19,49,55,79,75,46,41,2022_1
2025,22,4,7,1,2,PLIL23-1657-200865821,PLNDP250113G,10,16,7,19,49,55,79,75,46,41,2022_2
2025,22,4,7,1,2,PLIL23-1657-200865821,PLNDP250113G,10,16,7,19,49,55,79,75,46,41,2022_3
2025,22,4,7,1,3,PLIL23-1657-200865821,PLNDP250113G,6,17,5,15,46,53,72,53,44,47,2022_1
2025,22,4,7,1,3,PLIL23-1657-200865821,PLNDP250113G,6,17,5,15,46,53,72,53,44,47,2022_2
2025,22,4,7,1,3,PLIL23-1657-200865821,PLNDP250113G,6,17,5,15,46,53,72,53,44,47,2022_3
2025,23,4,8,1,1,PLIL23-660-201774471,PLNDP250178Y,17,14,2,11,50,47,63,65,47,52,2023_2
2025,23,4,8,1,1,PLIL23-660-201774471,PLNDP250178Y,17,14,2,11,50,47,63,65,47,52,2023_3
2025,23,4,8,1,1,PLIL23-660-201774471,PLNDP250178Y,17,14,2,11,50,47,63,65,47,52,2023_1
2025,23,4,8,1,2,PLIL23-660-201774471,PLNDP250178Y,13,14,3,16,40,50,67,71,54,51,2023_2
2025,23,4,8,1,2,PLIL23-660-201774471,PLNDP250178Y,13,14,3,16,40,50,67,71,54,51,2023_3
2025,23,4,8,1,2,PLIL23-660-201774471,PLNDP250178Y,13,14,3,16,40,50,67,71,54,51,2023_1
2025,23,4,8,1,3,PLIL23-660-201774471,PLNDP250178Y,10,18,4,17,47,50,72,57,57,49,2023_2
2025,23,4,8,1,3,PLIL23-660-201774471,PLNDP250178Y,10,18,4,17,47,50,72,57,57,49,2023_3
2025,23,4,8,1,3,PLIL23-660-201774471,PLNDP250178Y,10,18,4,17,47,50,72,57,57,49,2023_1
2025,24,4,9,1,1,PLIL23-1556-201774441,PLNDP250174Y,9,14,8,12,66,60,71,68,48,51,2024_3
2025,24,4,9,1,1,PLIL23-1556-201774441,PLNDP250174Y,9,14,8,12,66,60,71,68,48,51,2024_1
2025,24,4,9,1,1,PLIL23-1556-201774441,PLNDP250174Y,9,14,8,12,66,60,71,68,48,51,2024_2
2025,24,4,9,1,2,PLIL23-1556-201774441,PLNDP250174Y,7,19,4,22,52,55,74,84,46,48,2024_3
2025,24,4,9,1,2,PLIL23-1556-201774441,PLNDP250174Y,7,19,4,22,52,55,74,84,46,48,2024_1
2025,24,4,9,1,2,PLIL23-1556-201774441,PLNDP250174Y,7,19,4,22,52,55,74,84,46,48,2024_2
2025,24,4,9,1,3,PLIL23-1556-201774441,PLNDP250174Y,6,17,7,20,51,52,77,78,52,71,2024_3
2025,24,4,9,1,3,PLIL23-1556-201774441,PLNDP250174Y,6,17,7,20,51,52,77,78,52,71,2024_1
2025,24,4,9,1,3,PLIL23-1556-201774441,PLNDP250174Y,6,17,7,20,51,52,77,78,52,71,2024_2
2025,32,5,2,1,1,PLIL22-3365-200865773,PLNDP250123Y,9,38,2,19,49,49,82,71,7,68,2032_1
2025,32,5,2,1,1,PLIL22-3365-200865773,PLNDP250123Y,9,38,2,19,49,49,82,71,7,68,2032_2
2025,32,5,2,1,1,PLIL22-3365-200865773,PLNDP250123Y,9,38,2,19,49,49,82,71,7,68,2032_3
2025,32,5,2,1,2,PLIL22-3365-200865773,PLNDP250123Y,22,26,5,19,43,50,80,69,74,66,2032_1
2025,32,5,2,1,2,PLIL22-3365-200865773,PLNDP250123Y,22,26,5,19,43,50,80,69,74,66,2032_2
2025,32,5,2,1,2,PLIL22-3365-200865773,PLNDP250123Y,22,26,5,19,43,50,80,69,74,66,2032_3
