Location,Affiliation,observationUnitName,observationUnitDbId,plot.subplot,biomass_timepoint,biomass_T1,biomass_T2,biomass_T3,Sample_Date,PM3D Plot ID entered,notes
AL,AL-Wolfe,B4I_2025_PM3D_AL_410_subplot_3,738049,410.3,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_411_subplot_2,738000,411.2,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_412_subplot_3,737998,412.3,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_413_subplot_1,738044,413.1,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_414_subplot_2,738051,414.2,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_415_subplot_1,738035,415.1,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_416_subplot_3,738010,416.3,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_417_subplot_1,738041,417.1,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_418_subplot_1,738023,418.1,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_419_subplot_3,738055,419.3,3,NA,NA,1,,,no images taken
AL,AL-Wolfe,B4I_2025_PM3D_AL_420_subplot_1,738038,420.1,3,NA,NA,1,,,no images taken
IA,IA-Corteva,B4I_2025_PM3D_IA_01_subplot_2,741713,1.2,1,1,NA,NA,5/15/2025,1.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_02_subplot_1,741688,2.1,1,1,NA,NA,5/15/2025,2.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_03_subplot_1,741724,3.1,1,1,NA,NA,5/15/2025,3.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_04_subplot_2,741734,4.2,1,1,NA,NA,5/15/2025,4.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_05_subplot_3,741720,5.3,1,1,NA,NA,5/15/2025,5.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_06_subplot_1,741727,6.1,1,1,NA,NA,5/15/2025,6.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_07_subplot_3,741702,7.3,1,1,NA,NA,5/15/2025,7.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_08_subplot_2,741683,8.2,1,1,NA,NA,5/15/2025,8.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_09_subplot_2,741698,9.2,1,1,NA,NA,5/15/2025,9.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_10_subplot_1,741709,10.1,1,1,NA,NA,5/15/2025,10.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_11_subplot_2,741722,11.2,1,1,NA,NA,5/15/2025,11.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_12_subplot_3,741732,12.3,1,1,NA,NA,5/15/2025,12.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_13_subplot_1,741679,13.1,1,1,NA,NA,5/15/2025,13.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_14_subplot_1,741685,14.1,1,1,NA,NA,5/15/2025,14.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_15_subplot_1,741694,15.1,1,1,NA,NA,5/15/2025,15.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_16_subplot_1,741715,16.1,1,1,NA,NA,5/15/2025,16.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_17_subplot_2,741704,17.2,1,1,NA,NA,5/15/2025,17.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_18_subplot_2,741707,18.2,1,1,NA,NA,5/15/2025,18.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_19_subplot_1,741676,19.1,1,1,NA,NA,5/15/2025,19.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_20_subplot_1,741691,20.1,1,1,NA,NA,5/15/2025,20.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_01_subplot_3,741714,1.3,2,NA,1,NA,6/6/2025,1.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_02_subplot_3,741690,2.3,2,NA,1,NA,6/6/2025,2.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_03_subplot_3,741726,3.3,2,NA,1,NA,6/6/2025,3.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_04_subplot_1,741733,4.1,2,NA,1,NA,6/6/2025,4.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_05_subplot_1,741718,5.1,2,NA,1,NA,6/6/2025,5.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_06_subplot_3,741729,6.3,2,NA,1,NA,6/6/2025,6.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_07_subplot_1,741700,7.1,2,NA,1,NA,6/6/2025,7.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_08_subplot_3,741684,8.3,2,NA,1,NA,6/6/2025,8.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_09_subplot_1,741697,9.1,2,NA,1,NA,6/6/2025,9.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_10_subplot_2,741710,10.2,2,NA,1,NA,6/6/2025,10.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_11_subplot_3,741723,11.3,2,NA,1,NA,6/6/2025,11.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_12_subplot_1,741730,12.1,2,NA,1,NA,6/6/2025,12.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_13_subplot_2,741680,13.2,2,NA,1,NA,6/6/2025,13.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_14_subplot_3,741687,14.3,2,NA,1,NA,6/6/2025,14.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_15_subplot_3,741696,15.3,2,NA,1,NA,6/6/2025,15.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_16_subplot_3,741717,16.3,2,NA,1,NA,6/6/2025,16.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_17_subplot_3,741705,17.3,2,NA,1,NA,6/6/2025,17.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_18_subplot_1,741706,18.1,2,NA,1,NA,6/6/2025,18.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_19_subplot_3,741678,19.3,2,NA,1,NA,6/6/2025,19.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_20_subplot_3,741693,20.3,2,NA,1,NA,6/6/2025,20.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_01_subplot_1,741712,1.1,3,NA,NA,1,6/26/2025,1.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_02_subplot_2,741689,2.2,3,NA,NA,1,6/26/2025,2.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_03_subplot_2,741725,3.2,3,NA,NA,1,6/26/2025,3.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_04_subplot_3,741735,4.3,3,NA,NA,1,6/26/2025,4.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_05_subplot_2,741719,5.2,3,NA,NA,1,6/26/2025,5.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_06_subplot_2,741728,6.2,3,NA,NA,1,6/26/2025,6.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_07_subplot_2,741701,7.2,3,NA,NA,1,6/26/2025,7.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_08_subplot_1,741682,8.1,3,NA,NA,1,6/26/2025,8.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_09_subplot_3,741699,9.3,3,NA,NA,1,6/26/2025,9.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_10_subplot_3,741711,10.3,3,NA,NA,1,6/26/2025,10.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_11_subplot_1,741721,11.1,3,NA,NA,1,6/26/2025,11.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_12_subplot_2,741731,12.2,3,NA,NA,1,6/26/2025,12.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_13_subplot_3,741681,13.3,3,NA,NA,1,6/26/2025,13.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_14_subplot_2,741686,14.2,3,NA,NA,1,6/26/2025,14.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_15_subplot_2,741695,15.2,3,NA,NA,1,6/26/2025,15.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_16_subplot_2,741716,16.2,3,NA,NA,1,6/26/2025,16.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_17_subplot_1,741703,17.1,3,NA,NA,1,6/26/2025,17.1,
IA,IA-Corteva,B4I_2025_PM3D_IA_18_subplot_3,741708,18.3,3,NA,NA,1,6/26/2025,18.3,
IA,IA-Corteva,B4I_2025_PM3D_IA_19_subplot_2,741677,19.2,3,NA,NA,1,6/26/2025,19.2,
IA,IA-Corteva,B4I_2025_PM3D_IA_20_subplot_2,741692,20.2,3,NA,NA,1,6/26/2025,20.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_101_subplot_1,741760,101.1,1,1,NA,NA,5/15/2025,1.101.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_102_subplot_1,741787,102.1,1,1,NA,NA,5/15/2025,1.102.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_201_subplot_2,741764,201.2,1,1,NA,NA,5/15/2025,1.201.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_202_subplot_1,741751,202.1,1,1,NA,NA,5/15/2025,1.202.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_301_subplot_2,741737,301.2,1,1,NA,NA,5/15/2025,1.301.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_302_subplot_2,741785,302.2,1,1,NA,NA,5/15/2025,1.302.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_401_subplot_2,741749,401.2,1,1,NA,NA,5/15/2025,1.401.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_402_subplot_2,741773,402.2,1,1,NA,NA,5/15/2025,1.402.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_501_subplot_2,741746,501.2,1,1,NA,NA,5/15/2025,1.501.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_502_subplot_1,741781,502.1,1,1,NA,NA,5/15/2025,1.502.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_601_subplot_1,741754,601.1,1,1,NA,NA,5/15/2025,1.601.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_602_subplot_1,741766,602.1,1,1,NA,NA,5/15/2025,1.602.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_701_subplot_3,741777,701.3,1,1,NA,NA,5/15/2025,1.701.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_702_subplot_3,741744,702.3,1,1,NA,NA,5/15/2025,1.702.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_801_subplot_2,741791,801.2,1,1,NA,NA,5/15/2025,1.801.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_802_subplot_1,741757,802.1,1,1,NA,NA,5/15/2025,1.802.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_901_subplot_1,741778,901.1,1,1,NA,NA,5/15/2025,1.901.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_902_subplot_2,741740,902.2,1,1,NA,NA,5/15/2025,1.902.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_1001_subplot_2,741770,1001.2,1,1,NA,NA,5/15/2025,1.1001.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_1002_subplot_3,741795,1002.3,1,1,NA,NA,5/15/2025,1.1002.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_101_subplot_2,741761,101.2,2,NA,1,NA,5/30/2025,2.101.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_102_subplot_3,741789,102.3,2,NA,1,NA,5/30/2025,2.102.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_201_subplot_3,741765,201.3,2,NA,1,NA,5/30/2025,2.201.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_202_subplot_3,741753,202.3,2,NA,1,NA,5/30/2025,2.202.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_301_subplot_1,741736,301.1,2,NA,1,NA,5/30/2025,2.301.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_302_subplot_3,741786,302.3,2,NA,1,NA,5/30/2025,2.302.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_401_subplot_1,741748,401.1,2,NA,1,NA,5/30/2025,2.401.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_402_subplot_1,741772,402.1,2,NA,1,NA,5/30/2025,2.402.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_501_subplot_3,741747,501.3,2,NA,1,NA,5/30/2025,2.501.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_502_subplot_2,741782,502.2,2,NA,1,NA,5/30/2025,2.502.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_601_subplot_2,741755,601.2,2,NA,1,NA,5/30/2025,2.601.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_602_subplot_2,741767,602.2,2,NA,1,NA,5/30/2025,2.602.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_701_subplot_1,741775,701.1,2,NA,1,NA,5/30/2025,2.701.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_702_subplot_2,741743,702.2,2,NA,1,NA,5/30/2025,2.702.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_801_subplot_1,741790,801.1,2,NA,1,NA,5/30/2025,2.801.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_802_subplot_2,741758,802.2,2,NA,1,NA,5/30/2025,2.802.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_901_subplot_2,741779,901.2,2,NA,1,NA,5/30/2025,2.901.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_902_subplot_3,741741,902.3,2,NA,1,NA,5/30/2025,2.902.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_1001_subplot_1,741769,1001.1,2,NA,1,NA,5/30/2025,2.1001.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_1002_subplot_1,741793,1002.1,2,NA,1,NA,5/30/2025,2.1002.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_101_subplot_3,741762,101.3,3,NA,NA,1,6/10/2025,3.101.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_102_subplot_2,741788,102.2,3,NA,NA,1,6/10/2025,3.102.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_201_subplot_1,741763,201.1,3,NA,NA,1,6/10/2025,3.201.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_202_subplot_2,741752,202.2,3,NA,NA,1,6/10/2025,3.202.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_301_subplot_3,741738,301.3,3,NA,NA,1,6/10/2025,3.301.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_302_subplot_1,741784,302.1,3,NA,NA,1,6/10/2025,3.302.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_401_subplot_3,741750,401.3,3,NA,NA,1,6/10/2025,3.401.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_402_subplot_3,741774,402.3,3,NA,NA,1,6/10/2025,3.402.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_501_subplot_1,741745,501.1,3,NA,NA,1,6/10/2025,3.501.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_502_subplot_3,741783,502.3,3,NA,NA,1,6/10/2025,3.502.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_601_subplot_3,741756,601.3,3,NA,NA,1,6/10/2025,3.601.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_602_subplot_3,741768,602.3,3,NA,NA,1,6/10/2025,3.602.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_701_subplot_2,741776,701.2,3,NA,NA,1,6/10/2025,3.701.2,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_702_subplot_1,741742,702.1,3,NA,NA,1,6/10/2025,3.702.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_801_subplot_3,741792,801.3,3,NA,NA,1,6/10/2025,3.801.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_802_subplot_3,741759,802.3,3,NA,NA,1,6/10/2025,3.802.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_901_subplot_3,741780,901.3,3,NA,NA,1,6/10/2025,3.901.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_902_subplot_1,741739,902.1,3,NA,NA,1,6/10/2025,3.902.1,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_1001_subplot_3,741771,1001.3,3,NA,NA,1,6/10/2025,3.1001.3,
IL,IL-Arbelaez,B4I_2025_PM3D_IL_1002_subplot_2,741794,1002.2,3,NA,NA,1,6/10/2025,3.1002.2,
ND,ND-Berti,B4I_2025_PM3D_ND_01_subplot_2,741824,1.2,1,1,NA,NA,6/18/2025,1.2,
ND,ND-Berti,B4I_2025_PM3D_ND_02_subplot_2,741827,2.2,1,1,NA,NA,6/18/2025,2.2,
ND,ND-Berti,B4I_2025_PM3D_ND_03_subplot_2,741797,3.2,1,1,NA,NA,6/18/2025,3.2,
ND,ND-Berti,B4I_2025_PM3D_ND_04_subplot_3,741807,4.3,1,1,NA,NA,6/18/2025,4.3,
ND,ND-Berti,B4I_2025_PM3D_ND_05_subplot_1,741802,5.1,1,1,NA,NA,6/18/2025,5.1,
ND,ND-Berti,B4I_2025_PM3D_ND_06_subplot_2,741809,6.2,1,1,NA,NA,6/18/2025,6.2,
ND,ND-Berti,B4I_2025_PM3D_ND_07_subplot_3,741840,7.3,1,1,NA,NA,6/18/2025,7.3,
ND,ND-Berti,B4I_2025_PM3D_ND_08_subplot_1,741853,8.1,1,1,NA,NA,6/18/2025,8.1,
ND,ND-Berti,B4I_2025_PM3D_ND_09_subplot_1,741835,9.1,1,1,NA,NA,6/18/2025,9.1,
ND,ND-Berti,B4I_2025_PM3D_ND_10_subplot_3,741822,10.3,1,1,NA,NA,6/18/2025,10.3,
ND,ND-Berti,B4I_2025_PM3D_ND_11_subplot_2,741800,11.2,1,1,NA,NA,6/18/2025,11.2,
ND,ND-Berti,B4I_2025_PM3D_ND_12_subplot_2,741812,12.2,1,1,NA,NA,6/18/2025,12.2,
ND,ND-Berti,B4I_2025_PM3D_ND_13_subplot_2,741848,13.2,1,1,NA,NA,6/18/2025,13.2,
ND,ND-Berti,B4I_2025_PM3D_ND_14_subplot_2,741833,14.2,1,1,NA,NA,6/18/2025,14.2,
ND,ND-Berti,B4I_2025_PM3D_ND_15_subplot_1,741844,15.1,1,1,NA,NA,6/18/2025,15.1,
ND,ND-Berti,B4I_2025_PM3D_ND_16_subplot_2,741818,16.2,1,1,NA,NA,6/18/2025,16.2,
ND,ND-Berti,B4I_2025_PM3D_ND_17_subplot_2,741842,17.2,1,1,NA,NA,6/18/2025,17.2,
ND,ND-Berti,B4I_2025_PM3D_ND_18_subplot_2,741815,18.2,1,1,NA,NA,6/18/2025,18.2,
ND,ND-Berti,B4I_2025_PM3D_ND_19_subplot_2,741851,19.2,1,1,NA,NA,6/18/2025,19.2,
ND,ND-Berti,B4I_2025_PM3D_ND_20_subplot_2,741830,20.2,1,1,NA,NA,6/18/2025,20.2,
ND,ND-Berti,B4I_2025_PM3D_ND_01_subplot_1,741823,1.1,2,NA,1,NA,7/9/2025,1.1,
ND,ND-Berti,B4I_2025_PM3D_ND_02_subplot_3,741828,2.3,2,NA,1,NA,7/9/2025,2.3,
ND,ND-Berti,B4I_2025_PM3D_ND_03_subplot_1,741796,3.1,2,NA,1,NA,7/9/2025,3.1,
ND,ND-Berti,B4I_2025_PM3D_ND_04_subplot_1,741805,4.1,2,NA,1,NA,7/9/2025,4.1,
ND,ND-Berti,B4I_2025_PM3D_ND_05_subplot_3,741804,5.3,2,NA,1,NA,7/9/2025,5.3,
ND,ND-Berti,B4I_2025_PM3D_ND_06_subplot_3,741810,6.3,2,NA,1,NA,7/9/2025,6.3,
ND,ND-Berti,B4I_2025_PM3D_ND_07_subplot_1,741838,7.1,2,NA,1,NA,7/9/2025,7.1,
ND,ND-Berti,B4I_2025_PM3D_ND_08_subplot_2,741854,8.2,2,NA,1,NA,7/9/2025,8.2,
ND,ND-Berti,B4I_2025_PM3D_ND_09_subplot_2,741836,9.2,2,NA,1,NA,7/9/2025,9.2,
ND,ND-Berti,B4I_2025_PM3D_ND_10_subplot_2,741821,10.2,2,NA,1,NA,7/9/2025,10.2,
